id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5114326421080982,P60H84xdc,6002567454,卑微的百香果酸奶,黄霄云超话☁️#黄霄云1222生日快乐#☁️#给黄霄云的年终告白#🍰面包面包🍞生日快乐和所有的烦恼说拜拜👋和所有的快乐说hihi！🎉亲爱的亲爱的生日快乐🎉晚上直播见@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云1222生日快乐,给黄霄云的年终告白",0,0,3,2024-12-22 10:18,黄霄云超话,"https://wx3.sinaimg.cn/large/006yea06gy1hwthbxk04tj30u0140tfw.jpg,https://wx1.sinaimg.cn/large/006yea06gy1hwthbx58psj30u0140qac.jpg,https://wx4.sinaimg.cn/large/006yea06gy1hwthbxv2jsj30u0140aff.jpg",,,,普通用户,会员,4
5114325715125231,P60FZlvj1,7930021799,Ghost_Bottle,黄霄云超话#黄霄云1222生日快乐#今天是面包的26岁生日，首先祝面包生日快乐！生日蛋糕买了几个呀？已经开始期待今晚的生日直播了！也期待小品现场2024年也快要结束了，回顾今年，面包发了自己人生中第一张专辑，也开了万人演唱会。面包心里应该是非常开心的！但是，也要注意身体，身体是革命的本钱，不要熬夜祝面包新的一年当中天天开心，开许多许多场巡演，将宇宙无敌号开往更远更远的地方！！！@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士",黄霄云1222生日快乐,0,2,5,2024-12-22 10:15,黄霄云超话,https://wx1.sinaimg.cn/large/008EFyVply1hwthb2er2ij340c5chu10.jpg,,,,普通用户,会员,4
5114324376881000,P60DPsS3S,7902043183,农村224号糙鸭_,黄霄云超话@黄霄雲宝宝生日快乐🎂以后要顺顺利利的#黄霄云1222生日快乐#,,,黄霄雲,黄霄云1222生日快乐,0,0,1,2024-12-22 10:10,黄霄云超话,,,,,普通用户,会员,5
5114324358793975,P60DNATIj,5925612200,河南小宋呀,黄霄云超话生日快乐！生日快乐#黄霄云1222生日快乐#面包，生日快乐，晚上见,,,,黄霄云1222生日快乐,0,1,1,2024-12-22 10:10,黄霄云超话,,,,,普通用户,非会员,0
5114323933856478,P60D7gbfg,7436595100,ghost_凫羽凤,黄霄云超话#黄霄云1222生日快乐#面包生日快乐！感觉时间过得好快啊，今天已经是喜欢你的第二年了，今后我也会一直喜欢你的！！@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士",黄霄云1222生日快乐,0,1,4,2024-12-22 10:08,黄霄云超话,"https://wx3.sinaimg.cn/large/0087hc6gly1hwtgwwaju9j30n00uoaba.jpg,https://wx2.sinaimg.cn/large/0087hc6gly1hwth1vtnmtj30u01400ys.jpg",,,,普通用户,非会员,0
5114323829522696,P60CWDXhS,7672936460,一抹尘夕,面包生日快乐呀，按时长大，魔星一直都在呀@黄霄雲@好想吃面包蛋糕芝士黄霄云超话#黄霄云#黄霄云超话#黄霄云好美##黄霄云生日快乐##黄霄云1222生日快乐#,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云,黄霄云好美,黄霄云生日快乐,黄霄云1222生日快乐",0,0,5,2024-12-22 10:08,黄霄云超话,"https://wx4.sinaimg.cn/large/008ngRhGgy1hwth17o03hj30qo0y8q7k.jpg,https://wx1.sinaimg.cn/large/008ngRhGgy1hwth183g84j30u0190n0f.jpg,https://wx2.sinaimg.cn/large/008ngRhGgy1hwth19ej2xj30m80m8gnr.jpg,https://wx3.sinaimg.cn/large/008ngRhGgy1hwth18jwnvj30u0190gq8.jpg,https://wx4.sinaimg.cn/large/008ngRhGgy1hwth190mplj30u01900uu.jpg,https://wx1.sinaimg.cn/large/008ngRhGgy1hwth19s6pkj30m80m80ug.jpg",,,,普通用户,非会员,0
5114323275350386,P60C3mrSy,6379167410,Swallow-晏晏yan,黄霄云超话#黄霄云1222生日快乐#寿星生日快乐！@黄霄雲,,,黄霄雲,黄霄云1222生日快乐,0,1,2,2024-12-22 10:05,黄霄云超话,,,,,普通用户,非会员,0
5114322955275517,P60Bxm8oZ,7787258431,奔赴面包,黄霄云超话#黄霄云1222生日快乐##黄霄云宇宙无敌号北京演唱会#先祝我们包包生日快乐哇希望包包未来的每一天都能开开心心魔星们会好好守护最棒最美的🍞@好想吃面包蛋糕芝士@黄霄雲,,,"好想吃面包蛋糕芝士,黄霄雲","黄霄云1222生日快乐,黄霄云宇宙无敌号北京演唱会",0,12,14,2024-12-22 10:04,黄霄云超话,"https://wx3.sinaimg.cn/large/008v0xErgy1hwtgyu11kaj30qo0zk45j.jpg,https://wx4.sinaimg.cn/large/008v0xErgy1hwtgyuiwp7j30qo0zkwj8.jpg,https://wx2.sinaimg.cn/large/008v0xErgy1hwtgyv4iu0j31400qo0x0.jpg",,,,普通用户,非会员,0
5114322927226580,P60BuujXK,7905496776,爱黄霄雲的面包,黄霄云超话🍞#黄霄雲1222生日快乐##黄霄云#在这特殊的日子里，愿你如阳光般明媚，如花朵般绽放。每一岁都能奔赴在自己的热爱里，每一步都走得坚定而有力。祝面包姐姐生日快乐，期待今晚的生日直播@黄霄雲@好想吃面包蛋糕芝士L爱黄霄雲的面包的微博视频,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄雲1222生日快乐,黄霄云",1,10,33,2024-12-22 10:04,黄霄云超话,,"http://f.video.weibocdn.com/u0/TORhCEXsgx08kylNxUGQ01041202cybe0E010.mp4?label=mp4_720p&template=1152x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765443688&ssig=IqqIszDNw%2F&KID=unistore,video",,,普通用户,非会员,0
5114322197938221,P60Ajxj5P,1987540151,魔力派大星Star,黄霄云超话#黄霄云1222生日快乐#面包生日快乐！！,,深圳·海天明月居,,黄霄云1222生日快乐,0,2,1,2024-12-22 10:01,黄霄云超话,"https://wx4.sinaimg.cn/large/767774b7gy1hwtgvg9et9j20u014011w.jpg,https://wx4.sinaimg.cn/large/767774b7gy1hwtgvgorpnj20u0140ti6.jpg,https://wx1.sinaimg.cn/large/767774b7gy1hwtgvfpybyj20u0140dp3.jpg",,,,普通用户,非会员,0
5114308813390433,P60eJee0p,7296709589,扬汤止沸wk,黄霄云超话#黄霄云1222生日快乐##黄霄云#宝宝你是一块香香软软的小面包🥯奇妙的缘分呀[妮可]哎呀太可爱了[妮可]@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云1222生日快乐,黄霄云",0,1,2,2024-12-22 09:08,黄霄云超话,"https://wx2.sinaimg.cn/large/007XOfully1hwtfc8z9ptj30u01t27ar.jpg,https://wx4.sinaimg.cn/large/007XOfully1hwtfcxb3tsj30u0190tlt.jpg,https://wx4.sinaimg.cn/large/007XOfully1hwtfcw9ctzj30u0140wle.jpg",,,,黄V,非会员,0
5114299311983167,P5ZZp8jUz,7799696769,NEBULA_黄霄雲,黄霄云超话#黄霄云1222生日快乐##给黄霄云的年终告白#岁月轮回，今朝又逢生辰，愿你岁岁平安，年年有余，生辰吉乐，福泽绵长[吃瓜瓜]👻👻在这特别的日子里，愿你的每个明天都比今天更加灿烂，岁月悠长，愿你心中有光，脚下有路，生日快乐@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云1222生日快乐,给黄霄云的年终告白",1,12,11,2024-12-22 08:30,黄霄云超话,"https://wx2.sinaimg.cn/large/008vQJqNly1hwte9w2wjej30u0140gwh.jpg,https://wx3.sinaimg.cn/large/008vQJqNly1hwte9wi78vj30vg1dndkh.jpg,https://wx4.sinaimg.cn/large/008vQJqNly1hwte9wyzqpj30u014244f.jpg",,,,黄V,会员,2
5114297367397516,P5ZWgv2qM,3568093834,Staring_at_star,黄霄云超话生日快乐！生日快乐#黄霄云##黄霄云1222生日快乐#有多少人0点庆生的？祝超能音乐少女，黄霄圆，黄笑晕，魔星头子，鬼鬼GHOST，好想吃女士，艾晓欣同学，人鱼公主天使朵莉亚，宇宙无敌号舰长生日快乐！！！！！！！！@黄霄雲@好想吃面包蛋糕芝士LStaring_at_star的微博视频,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云,黄霄云1222生日快乐",0,5,14,2024-12-22 08:22,黄霄云超话,,"http://f.video.weibocdn.com/u0/abqBNtPfgx08kyePdyvm0104120032mX0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765443712&ssig=2Jh6ocdsaq&KID=unistore,video",,,普通用户,会员,5
5114297059642472,P5ZVLEsrK,7527112528,ovo好想吃面包ovo,黄霄云超话#黄霄云宇宙无敌号北京演唱会#❤️#黄霄雲1222生日快乐#面包生日快乐！！！包包今年辛苦啦~要注意劳逸结合哦今晚能不能播吃播啊，想看你多吃点@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云宇宙无敌号北京演唱会,黄霄雲1222生日快乐",1,21,22,2024-12-22 08:21,黄霄云超话,"https://wx2.sinaimg.cn/large/008doZOMly1hwtdykv8hzj30u01407ai.jpg,https://wx2.sinaimg.cn/large/008doZOMly1hwtdykvv87j30u0140wlw.jpg,https://wx4.sinaimg.cn/large/008doZOMly1hwtdykp1l9j30jz0zkmyu.jpg,https://wx3.sinaimg.cn/large/008doZOMly1hwtdykwptdj30u014tdmp.jpg",,,,普通用户,会员,5
5114296698668920,P5ZVbAnbi,1106955220,Ghost四季,#黄霄雲1222生日快乐#生日快乐面包包我们又一起走过一年啦@黄霄雲希望明年多多见你@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士",黄霄雲1222生日快乐,0,1,3,2024-12-22 08:20,,,,,,普通用户,会员,7
5114292389283966,P5ZOeCXbo,7768472183,Ghost-zzypromax,黄霄云超话#黄霄云##黄霄云1222生日快乐#生日快乐！生日快乐🎂是时候与意义非凡的25岁说再见了，第一次音乐节，第一张原创专辑，第一场万人演唱会……歌手黄霄雲→唱作人黄霄雲，宇宙无敌号北京点火发射🚀……要长大，才能伟大，在新的一岁，全心全意享受每一个音符，每一首歌，每一次舞台，将宇宙无敌号开向很远地方，要鲜艳，要雀跃，要肆意地在音乐道路上奔赴星辰大海Lzzypromax的微博视频,,,,"黄霄云,黄霄云1222生日快乐",0,0,7,2024-12-22 08:03,黄霄云超话,,"http://f.video.weibocdn.com/o0/43Drw2BOlx08kydilTSU01041200diWz0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765443712&ssig=AU9zXmDzv%2F&KID=unistore,video",,,普通用户,非会员,0
